,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50,bioactivity_class
125,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,357.4110000000002,-1.460899999999997,5.0,5.0,7.823908740944319,active
126,CHEMBL224891,CCN(CC)Cc1c(O)ccc(C=O)c1O,223.272,1.7521,2.0,4.0,4.698970004336019,inactive
127,CHEMBL224258,O=Cc1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,397.86200000000014,3.434100000000003,2.0,6.0,4.698970004336019,inactive
128,CHEMBL387974,CN1CCN(Cc2c(O)ccc(C=O)c2O)CC1,250.29799999999997,0.6577,2.0,5.0,4.698970004336019,inactive
129,CHEMBL225644,O=Cc1ccc(O)c(CN2CCOCC2)c1O,237.2549999999999,0.7424999999999999,2.0,5.0,4.698970004336019,inactive
130,CHEMBL225592,O=Cc1ccc(O)c(CN2CCCCC2)c1O,235.2829999999999,1.8961999999999999,2.0,4.0,4.698970004336019,inactive
131,CHEMBL388317,O=Cc1ccc(O)c(CN2CCCC2)c1O,221.25599999999991,1.5061,2.0,4.0,4.698970004336019,inactive
132,CHEMBL427253,NC(=S)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,310.3790000000001,0.09710000000000002,4.0,6.0,4.698970004336019,inactive
133,CHEMBL388101,Cc1c(O)ccc(/C=N/NC(N)=S)c1O,225.273,0.5733199999999998,4.0,4.0,4.698970004336019,inactive
134,CHEMBL224260,NC(=O)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,454.9180000000002,2.6238000000000006,4.0,7.0,4.698970004336019,inactive
135,CHEMBL387860,CN1CCN(Cc2c(O)ccc(/C=N/NC(=O)NCCNc3ccnc4cc(Cl)ccc34)c2O)CC1,512.0140000000002,2.7920000000000007,5.0,8.0,4.698970004336019,inactive
136,CHEMBL389869,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,498.97100000000034,2.8768000000000016,5.0,8.0,4.698970004336019,inactive
137,CHEMBL225323,CCN(CC)Cc1c(O)ccc(/C=N/NC(N)=S)c1O,296.396,1.1066999999999998,4.0,5.0,4.955852379121277,inactive
138,CHEMBL224893,NC(=S)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,294.38,0.8607000000000002,4.0,5.0,5.232844133917819,intermediate
139,CHEMBL225646,NC(=S)N/N=C/c1ccc(O)c(CN2CCCCC2)c1O,308.40700000000004,1.2508000000000001,4.0,5.0,5.42021640338319,intermediate
140,CHEMBL225184,CN1CCN(Cc2c(O)ccc(/C=N/NC(N)=S)c2O)CC1,323.42200000000014,0.012299999999999922,4.0,6.0,4.739451627363021,inactive
141,CHEMBL224312,NC(=S)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,470.98600000000016,2.788700000000001,4.0,7.0,5.647817481888637,intermediate
142,CHEMBL225449,CCN(CC)Cc1c(O)ccc(/C=N/NC(=O)NCCNc2ccnc3cc(Cl)ccc23)c1O,484.9880000000002,3.8864000000000014,5.0,7.0,5.585026652029182,intermediate
143,CHEMBL223654,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,482.9720000000003,3.6404000000000027,5.0,7.0,6.142667503568731,active
144,CHEMBL434743,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCCCC2)c1O,496.99900000000036,4.0305000000000035,5.0,7.0,6.200659450546418,active
